Station,4WkTotal,PerWkAverage,Sat_Av,Sun_Av,Mon_Av,Tues_Av,Weds_Av,Thurs_Av,Fri_Av,Lat,Lng
"('KINGS HIGHWAY', 'BQ')",480272,120068.0,8805,8951,19811,20178,21144,20360,19987,40.608691,-73.957772
"('CYPRESS HILLS', 'J')",36820,9205.0,825,736,1470,1483,1586,1474,1555,40.689945,-73.872564
"('77 ST', '6')",919599,229899.75,16458,16959,36472,39446,39774,40080,38276,40.773636,-73.959875
"('METS-WILLETS PT', '7')",180526,45131.5,7762,8981,3122,4367,6899,5892,5804,40.754622,-73.845625
"('EXCHANGE PLACE', '1')",361322,90330.5,3554,2956,16309,17140,17501,16904,15642,40.716737,-74.033024
"('ELMHURST AVE', 'MR')",355451,88862.75,9377,8655,13817,13873,14251,13961,14320,40.742445,-73.882005
"('149 ST-3 AVE', '25')",548740,137185.0,11905,10178,21204,21954,23150,23855,23491,40.816132,-73.917754
"('175 ST', 'A')",341803,85450.75,8137,7369,13412,13724,14057,14022,13975,40.847369,-73.939683
"('FT HAMILTON PKY', 'N')",181018,45254.5,4122,3643,7400,7417,7651,7296,7516,40.631428,-74.005387
"('CANAL ST', 'ACE')",494958,123739.5,8067,8333,19010,21108,21768,21930,21527,40.720852,-74.005237
"('CLASSON AVE', 'G')",127635,31908.75,3035,3077,4839,5036,5194,5119,5205,40.688855,-73.960025
"('EAST 105 ST', 'L')",96753,24188.25,1856,1634,3986,4054,4194,4052,4203,40.650625,-73.899558
"('170 ST', 'BD')",179998,44999.5,4657,3960,7002,7048,7381,7103,7552,40.839301,-73.913355
"('135 ST', '23')",401189,100297.25,9440,9547,15203,15857,16291,16203,16337,40.814459,-73.940992
"('25 AVE', 'D')",117978,29494.5,2439,2276,4894,4835,5090,4834,4988,40.597873,-73.986955
"('WOODHAVEN BLVD', 'JZ')",127647,31911.75,2771,2601,5104,5136,5373,5224,5367,40.693866,-73.851568
"('KINGSBRIDGE RD', '4')",244243,61060.75,5982,5220,9766,9821,10244,9758,9804,40.867899,-73.897326
"('BEVERLY ROAD', '25')",112608,28152.0,2432,2238,4497,4608,4745,4672,4704,40.645089,-73.948975
"('BROADWAY/LAFAY', 'BDFQ6')",620051,155012.75,12732,12868,22796,25244,25924,26365,26656,40.725297,-73.996204
"('HOYT ST', '23')",179290,44822.5,3186,3376,7058,7332,7988,7555,7640,40.690545,-73.985065
"('110 ST-CATHEDRL', '1')",328767,82191.75,6194,8305,12948,13511,13858,14161,13832,40.804032,-73.966742
"('50 ST', 'D')",78117,19529.25,1021,1483,3333,3399,3479,3424,3222,40.636232,-73.994765
"('SUTPHIN BLVD', 'EJZ')",632386,158096.5,14181,14459,25617,25039,25650,25645,25437,40.700488,-73.807933
"('FRANKLIN AVE', 'ACS')",174844,43711.0,4557,4443,6503,6749,6937,6900,7006,40.681159,-73.956056
"('BERGEN ST', '23')",94011,23502.75,1644,1805,3741,3979,4054,3993,3936,40.680801,-73.975132
"('ASTOR PLACE', '6')",415325,103831.25,7263,8271,15582,17278,17716,17920,17460,40.730056,-73.991042
"('PROSPECT PARK', 'BQS')",269086,67271.5,7054,7048,9993,10369,10718,10585,10703,40.661596,-73.962193
"('PROSPECT AVE', 'R')",143130,35782.5,2691,2417,5821,6174,6245,6140,5955,40.665438,-73.992856
"('SHEPHERD AVE', 'C')",85871,21467.75,1961,1822,3431,3465,3560,3472,3605,40.674161,-73.880761
"('79 ST', 'D')",157259,39314.75,2940,2566,6767,6475,7063,6494,6804,40.613513,-74.000645
"('110 ST', '6')",380924,95231.0,9444,8154,14564,15142,15750,15351,15701,40.795066,-73.944297
"('135 ST', 'BC')",135992,33998.0,2885,2615,5389,5565,6027,4623,5725,40.817902,-73.947644
"('INWOOD-207 ST', 'A')",261307,65326.75,8772,7393,9647,9594,9913,9690,9898,40.868045,-73.919921
"('CHAMBERS ST', 'JZ456')",266150,66537.5,3080,3208,11406,12347,12393,12081,11410,40.713159,-74.003917
"('182-183 ST', 'BD')",130877,32719.25,3408,3162,5025,5120,5206,5105,5343,40.856085,-73.900695
"('14TH STREET', '1')",233855,58463.75,5338,5386,8385,9350,10214,9703,8612,40.737434,-73.996785
"('125 ST', '456')",688477,172119.25,15398,17336,28520,25963,26939,26306,26666,40.804406,-73.937452
"('JACKSON AVE', '25')",140598,35149.5,3627,3011,5678,5864,5614,5407,5646,40.816505,-73.907797
"('JUNCTION BLVD', '7')",564346,141086.5,16284,14470,21523,21573,21997,21658,22460,40.749143,-73.869452
"('25 ST', 'R')",97913,24478.25,2187,2043,3719,3961,4084,4071,4089,40.66043,-73.997944
"('148 ST-LENOX', '3')",102893,25723.25,2383,2142,4159,4115,4262,4157,4281,40.823877,-73.936443
"('86 ST', 'R')",298339,74584.75,6788,6289,11751,12116,12411,12107,12367,40.622715,-74.028368
"('34 ST-PENN STA', '123')",882367,220591.75,13832,14773,36813,38293,38442,31563,38292,40.750329,-73.991096
"('PROSPECT AVE', '25')",193880,48470.0,4738,4196,7974,8114,7775,7410,7803,40.819396,-73.901467
"('YORK ST', 'F')",225671,56417.75,4101,4115,9073,9525,9817,9779,9411,40.699756,-73.98689
"('VAN SICLEN AVE', 'JZ')",77069,19267.25,1958,1745,2993,3028,3160,3055,3179,40.678018,-73.891726
"('ZEREGA AVE', '6')",55671,13917.75,996,835,2353,2378,2466,2427,2395,40.83646,-73.846471
"('FORDHAM ROAD', '4')",306671,76667.75,7948,7309,11890,11989,12694,12304,11605,40.862941,-73.901199
"('2 AVE', 'F')",461449,115362.25,10971,12271,15999,17658,18139,18365,19046,40.723291,-73.989873
"('HOYT/SCHERMER', 'ACG')",248954,62238.5,4774,5012,9771,10363,10484,10369,10433,40.688465,-73.985474
"('DEKALB AVE', 'BDNQR')",420565,105141.25,7642,6538,17600,17862,18566,17814,17948,40.690612,-73.981848
"('SENECA AVE', 'M')",64736,16184.0,980,900,2741,2816,2909,2878,2869,40.702798,-73.907776
"('KINGS HIGHWAY', 'F')",94120,23530.0,2105,2086,3844,3866,3994,3801,3727,40.603234,-73.972342
"('GRAND-30 AVE', 'NQ')",377434,94358.5,9501,8735,14517,14913,15331,15130,15209,40.766843,-73.921423
"('28 ST', '1')",365499,91374.75,5980,5593,15048,16398,16148,16050,15082,40.747224,-73.99336
"('KINGSTON-THROOP', 'C')",159382,39845.5,3775,3691,6216,6344,6474,6375,6345,40.679921,-73.940858
"('GRAND ARMY PLAZ', '23')",192040,48010.0,3768,3788,7596,7977,7706,8753,7833,40.675219,-73.971012
"('NEPTUNE AVE', 'F')",42232,10558.0,888,746,1743,1754,1850,1769,1766,40.580992,-73.974531
"('51 ST', '6')",557890,139472.5,8669,8938,21229,24600,24637,25252,24042,40.757108,-73.97187
"('18 AVE', 'F')",102458,25614.5,2022,2234,4234,4242,4331,4214,4132,40.629881,-73.977149
"('CYPRESS AVE', '6')",99258,24814.5,2345,1926,3967,4029,4095,4074,4178,40.805737,-73.914471
